age,revenu_mensuel,statut_marital,nombre_experiences_precedentes,annees_dans_l_entreprise,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,genre_m,heure_supplementaires_oui,domaine_etude_entrepreunariat,domaine_etude_infra & cloud,domaine_etude_marketing,domaine_etude_ressources humaines,domaine_etude_transformation digitale,poste_departement_cadre commercial_commercial,poste_departement_consultant_consulting,poste_departement_directeur technique_consulting,poste_departement_manager_consulting,poste_departement_représentant commercial_commercial,poste_departement_ressources humaines_ressources humaines,poste_departement_senior manager_commercial,poste_departement_senior manager_consulting,poste_departement_senior manager_ressources humaines,poste_departement_tech lead_consulting
32,5010,0,1,11,2,3,3,1,3,0.16,0,0,6,4,1,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
54,13549,1,9,4,1,3,3,1,1,0.12,1,5,2,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,4999,1,0,3,1,3,3,1,2,0.21,1,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,4221,1,1,5,2,3,3,2,4,0.15,0,3,4,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
58,13872,0,0,37,4,3,3,3,2,0.13,0,1,10,4,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
44,2042,1,4,3,2,3,2,3,4,0.12,1,3,23,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
37,2073,2,4,3,3,3,1,4,3,0.22,0,3,6,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
32,2956,0,1,1,4,3,1,4,3,0.13,0,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2926,0,1,1,4,2,4,2,3,0.18,0,5,6,3,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
34,4809,0,1,16,1,3,3,3,3,0.14,0,3,6,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5163,2,5,1,3,2,4,4,4,0.14,1,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
59,18844,1,9,3,3,2,4,4,3,0.21,1,3,2,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
50,18172,1,3,8,1,3,2,1,2,0.19,0,1,1,3,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25,5744,0,1,6,3,2,3,4,3,0.11,0,1,5,3,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
25,2889,1,1,2,4,2,4,3,3,0.11,2,2,7,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,2871,0,1,0,2,3,4,3,3,0.15,0,5,15,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
51,7484,0,3,13,1,2,1,3,2,0.2,0,1,1,4,2,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
34,6074,0,1,9,1,1,3,4,3,0.24,0,3,7,3,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
54,17328,0,2,5,4,4,4,3,3,0.12,0,3,26,3,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
24,2774,1,0,5,2,3,3,3,3,0.12,1,2,18,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
34,4505,2,6,1,3,2,2,3,3,0.15,1,3,6,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,7428,0,2,5,3,3,4,1,3,0.12,0,3,3,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
34,11631,0,2,11,3,2,1,4,3,0.12,0,6,5,3,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
36,9738,1,0,9,2,3,4,3,3,0.14,1,6,11,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,2835,2,5,1,1,3,4,1,3,0.22,1,2,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
43,16959,1,1,25,3,3,4,4,4,0.12,2,3,26,2,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
30,2613,2,1,10,1,1,3,3,2,0.25,3,2,23,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,6146,1,0,7,3,3,2,1,4,0.13,1,2,22,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
56,4963,1,9,5,2,3,2,1,3,0.18,3,2,14,4,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,19537,0,7,20,1,3,3,3,3,0.13,0,5,6,3,1,15,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
31,6172,1,4,7,2,1,3,2,2,0.18,0,3,6,4,1,7,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
26,2368,1,1,5,3,2,2,3,2,0.19,0,3,6,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,10312,1,1,40,4,3,4,4,2,0.12,1,3,23,4,1,15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
19,1675,0,1,0,4,3,3,4,2,0.19,0,2,22,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22,2523,1,0,2,3,3,4,3,3,0.14,1,2,2,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,6567,1,1,15,3,3,1,3,2,0.14,0,2,20,4,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
43,4739,0,4,3,2,4,3,4,3,0.12,0,2,28,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,9208,0,4,2,3,3,4,4,3,0.11,0,3,12,3,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
31,4559,1,3,2,2,1,3,3,3,0.11,1,2,20,3,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
41,8189,2,3,9,3,3,3,3,3,0.13,1,2,9,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
26,2942,1,1,8,3,3,3,4,3,0.23,1,3,25,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
36,4941,2,6,3,2,3,2,4,3,0.2,2,0,6,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
51,10650,0,2,4,1,1,4,4,3,0.15,0,2,8,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
39,5902,1,4,15,4,2,3,3,4,0.14,1,1,4,4,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
25,8639,1,2,2,1,2,3,4,3,0.18,0,3,28,3,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
30,6347,1,0,11,3,3,4,4,1,0.19,0,2,9,3,1,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
32,4200,0,7,5,1,3,1,1,4,0.22,0,2,9,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
45,3452,0,5,6,3,3,4,2,2,0.13,0,2,29,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,4317,0,3,3,4,3,3,2,3,0.2,0,2,3,5,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2632,0,1,5,1,3,3,3,2,0.14,0,4,18,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4668,2,0,8,4,1,4,4,4,0.17,3,2,9,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
30,3204,2,5,3,4,3,1,4,3,0.14,1,3,5,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2720,0,0,5,2,2,4,4,3,0.13,0,3,2,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
41,17181,2,4,7,4,2,1,2,2,0.13,1,2,10,3,2,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
41,2238,1,2,5,3,3,1,4,3,0.21,1,2,9,4,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19,1483,0,1,1,2,3,2,4,3,0.14,0,3,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
40,5605,2,1,20,2,3,2,1,3,0.11,1,2,26,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,7295,1,1,10,3,3,2,1,3,0.13,2,3,1,5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
53,2306,1,2,7,2,3,3,4,1,0.2,1,3,6,2,1,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
45,2348,2,8,17,2,3,2,3,1,0.18,1,2,9,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
32,8998,0,1,9,2,3,4,4,3,0.14,0,2,8,3,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
29,4319,1,1,10,4,3,3,1,3,0.13,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,6132,1,2,1,2,2,3,3,3,0.17,0,2,7,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
58,3346,1,4,1,2,2,2,2,2,0.2,1,3,9,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,10855,1,7,12,3,2,4,1,2,0.11,1,2,4,4,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
34,2231,1,6,4,3,3,3,4,3,0.18,1,3,2,4,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22,2323,1,1,2,3,3,4,1,3,0.24,2,6,19,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,2024,2,6,2,4,3,2,4,1,0.18,1,1,9,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,2713,1,1,5,3,3,4,3,1,0.11,1,2,21,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,9439,2,3,5,3,4,4,2,1,0.16,1,2,24,2,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27,2566,2,1,1,3,2,3,4,2,0.15,1,2,3,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,19926,0,3,5,3,3,2,2,3,0.15,0,5,11,3,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
41,2451,2,4,9,1,3,3,1,3,0.12,1,2,14,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,9419,1,2,10,2,3,4,3,3,0.12,1,2,5,3,1,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
38,8686,0,4,8,1,2,4,3,4,0.22,0,2,1,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
32,3038,0,3,5,3,3,3,1,3,0.2,0,2,6,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3058,1,0,5,3,3,2,4,2,0.16,1,3,17,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2325,0,0,0,3,1,1,1,4,0.21,0,5,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,2088,0,4,8,4,3,2,3,2,0.12,0,3,3,2,2,7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
30,3072,2,1,12,3,3,1,3,3,0.11,2,4,9,3,0,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
45,5006,2,4,5,3,3,1,1,4,0.11,1,3,4,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
56,4257,2,4,2,3,3,1,3,3,0.18,1,3,8,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2500,0,0,3,3,3,4,1,4,0.14,0,2,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1102,0,1,1,2,2,4,3,2,0.22,0,3,2,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
46,10453,2,1,24,2,3,1,3,3,0.25,3,2,1,2,1,15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
38,2288,0,1,2,3,3,4,3,3,0.12,0,3,9,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
31,3929,1,8,4,3,3,4,3,3,0.23,1,0,12,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,2311,0,2,3,4,3,2,4,3,0.15,0,3,27,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,3140,0,1,4,2,3,2,4,2,0.22,0,5,20,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
50,3690,1,2,3,3,2,3,4,2,0.15,1,2,1,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
