id,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
15,29,f,4193,célibataire,consulting,consultant,0,80,10,9,5,4,2,2,3,4,3,3,oui,0.12,non,0,3,1,15,2,infra & cloud,y,occasionnel,0,8
16,31,m,2911,divorcé(e),consulting,assistant de direction,1,80,5,5,2,1,3,1,3,4,2,3,non,0.17,non,1,1,1,26,1,infra & cloud,y,occasionnel,4,3
18,34,m,2661,divorcé(e),consulting,consultant,0,80,3,2,2,2,3,1,4,3,3,3,non,0.11,non,1,2,1,19,2,transformation digitale,y,occasionnel,1,2
19,28,m,2028,célibataire,consulting,consultant,5,80,6,4,2,3,2,1,3,2,3,3,oui,0.14,oui,0,4,1,24,3,infra & cloud,y,occasionnel,0,3
20,29,f,9980,divorcé(e),consulting,tech lead,1,80,10,10,9,2,4,3,1,3,3,3,non,0.11,non,1,1,1,21,4,infra & cloud,y,occasionnel,8,8
21,32,m,3298,divorcé(e),consulting,assistant de direction,0,80,7,6,2,1,4,1,2,4,2,3,oui,0.12,non,2,5,1,5,2,infra & cloud,y,occasionnel,0,5
22,22,m,2935,divorcé(e),consulting,consultant,1,80,1,1,0,4,4,1,4,2,2,3,oui,0.13,non,2,2,1,16,2,transformation digitale,y,aucun,0,0
23,53,f,15427,marié(e),commercial,senior manager,2,80,31,25,8,1,2,4,4,3,3,3,non,0.16,non,0,3,1,2,4,infra & cloud,y,occasionnel,3,7
24,38,m,3944,célibataire,consulting,assistant de direction,5,80,6,3,2,4,3,1,4,3,3,3,oui,0.11,non,0,3,1,2,3,infra & cloud,y,occasionnel,1,2
26,24,f,4011,divorcé(e),consulting,tech lead,0,80,5,4,2,1,4,2,3,4,2,3,non,0.18,non,1,5,1,11,2,autre,y,aucun,1,3
27,36,m,3407,célibataire,commercial,représentant commercial,7,80,10,5,3,3,2,1,1,2,3,4,non,0.23,oui,0,4,1,9,4,infra & cloud,y,occasionnel,0,3
28,34,f,11994,célibataire,consulting,directeur technique,0,80,13,12,6,1,3,3,2,3,3,3,non,0.11,non,0,4,1,7,4,infra & cloud,y,occasionnel,2,11
30,21,m,1232,célibataire,consulting,assistant de direction,1,80,0,0,0,3,3,1,4,4,3,3,non,0.14,non,0,6,1,15,2,infra & cloud,y,occasionnel,0,0
31,34,m,2960,célibataire,consulting,assistant de direction,2,80,8,4,2,2,3,1,1,3,3,3,non,0.11,oui,0,2,1,6,1,transformation digitale,y,occasionnel,1,3
32,53,f,19094,divorcé(e),consulting,senior manager,4,80,26,14,13,3,3,5,3,4,2,3,non,0.11,non,1,3,1,5,3,autre,y,occasionnel,4,8
33,32,f,3919,célibataire,consulting,assistant de direction,1,80,10,10,2,2,1,1,1,2,3,4,oui,0.22,oui,0,5,1,16,1,infra & cloud,y,frequent,6,7
35,42,m,6825,marié(e),commercial,cadre commercial,0,80,10,9,7,3,3,2,2,4,3,3,non,0.11,non,1,2,1,8,4,marketing,y,occasionnel,4,2
36,44,f,10248,marié(e),consulting,manager,3,80,24,22,6,1,2,3,4,4,3,3,non,0.14,non,1,4,1,7,4,transformation digitale,y,occasionnel,5,17
38,46,f,18947,célibataire,commercial,senior manager,3,80,22,2,2,2,3,5,1,4,2,3,non,0.12,non,0,2,1,2,4,marketing,y,occasionnel,2,1
39,33,m,2496,célibataire,consulting,consultant,4,80,7,1,1,3,3,1,4,4,3,3,non,0.11,non,0,3,1,2,3,transformation digitale,y,occasionnel,0,0
40,44,m,6465,marié(e),consulting,manager,2,80,9,4,2,4,3,2,4,4,4,3,oui,0.13,non,0,5,1,10,4,autre,y,occasionnel,1,3
41,30,m,2206,célibataire,consulting,consultant,1,80,10,10,0,4,2,1,3,1,3,3,non,0.13,non,0,5,1,9,2,transformation digitale,y,occasionnel,1,8
42,39,m,2086,marié(e),commercial,représentant commercial,3,80,19,1,0,4,3,2,4,3,4,3,non,0.14,oui,1,6,1,5,3,entrepreunariat,y,occasionnel,0,0
45,24,m,2293,marié(e),consulting,assistant de direction,2,80,6,2,0,2,3,1,4,1,2,3,oui,0.16,oui,1,2,1,1,3,transformation digitale,y,occasionnel,2,0
46,43,f,2645,divorcé(e),consulting,assistant de direction,1,80,6,5,3,4,4,1,3,4,2,3,non,0.12,non,2,3,1,2,2,transformation digitale,y,occasionnel,1,4
47,50,m,2683,marié(e),commercial,représentant commercial,1,80,3,3,2,1,2,1,3,3,3,3,oui,0.14,oui,0,2,1,3,2,marketing,y,occasionnel,0,2
49,35,f,2014,marié(e),commercial,représentant commercial,1,80,2,2,2,4,3,1,4,1,3,3,non,0.13,non,0,3,1,2,3,marketing,y,occasionnel,2,2
51,36,f,3419,marié(e),consulting,assistant de direction,9,80,6,1,1,2,2,1,1,4,4,3,oui,0.14,non,1,3,1,5,4,infra & cloud,y,occasionnel,0,0
52,33,f,5376,marié(e),commercial,cadre commercial,2,80,10,5,3,3,4,2,1,1,3,3,non,0.19,non,2,3,1,1,3,infra & cloud,y,frequent,1,3
53,35,m,1951,divorcé(e),consulting,consultant,1,80,1,1,0,3,3,1,4,3,3,3,non,0.12,non,1,3,1,4,2,autre,y,occasionnel,0,0
54,27,f,2341,divorcé(e),consulting,consultant,1,80,1,1,0,4,3,1,1,4,3,3,non,0.13,non,1,6,1,2,4,infra & cloud,y,occasionnel,0,0
55,26,m,2293,célibataire,consulting,consultant,1,80,1,1,0,1,1,1,3,3,2,3,non,0.12,oui,0,2,1,25,3,infra & cloud,y,occasionnel,0,1
56,27,m,8726,célibataire,commercial,cadre commercial,1,80,9,9,8,4,3,3,3,4,3,3,non,0.15,non,0,0,1,8,3,infra & cloud,y,frequent,1,7
57,30,f,4011,célibataire,consulting,consultant,1,80,12,12,8,3,3,2,4,4,3,4,non,0.23,non,0,2,1,1,2,transformation digitale,y,frequent,3,7
58,41,f,19545,marié(e),consulting,directeur technique,1,80,23,22,15,2,3,5,3,4,3,3,non,0.12,oui,0,0,1,12,3,entrepreunariat,y,occasionnel,15,8
60,34,m,4568,célibataire,commercial,cadre commercial,0,80,10,9,5,2,3,2,3,3,3,4,non,0.2,non,0,2,1,23,4,marketing,y,aucun,8,7
61,37,m,3022,marié(e),consulting,assistant de direction,4,80,8,1,0,2,3,1,2,1,3,4,non,0.21,non,0,1,1,19,2,infra & cloud,y,occasionnel,0,0
62,46,m,5772,célibataire,commercial,cadre commercial,4,80,14,9,6,1,3,2,4,3,3,4,oui,0.21,non,0,4,1,5,4,marketing,y,frequent,0,8
63,35,m,2269,marié(e),consulting,consultant,1,80,1,1,0,4,4,1,4,4,3,3,non,0.19,non,0,2,1,8,1,infra & cloud,y,occasionnel,0,1
64,48,m,5381,célibataire,consulting,consultant,9,80,23,1,0,1,2,3,3,4,3,3,oui,0.13,oui,0,2,1,1,2,infra & cloud,y,occasionnel,0,0
65,28,m,3441,célibataire,consulting,consultant,1,80,2,2,2,3,3,1,3,3,2,3,oui,0.13,oui,0,3,1,5,4,entrepreunariat,y,occasionnel,2,2
68,44,f,5454,divorcé(e),commercial,cadre commercial,5,80,9,4,3,2,3,2,1,3,2,4,oui,0.21,non,1,2,1,1,5,marketing,y,occasionnel,1,3
70,35,m,9884,marié(e),consulting,manager,2,80,10,4,0,3,2,3,1,3,3,3,oui,0.13,non,1,3,1,11,2,transformation digitale,y,aucun,2,3
72,26,f,4157,marié(e),commercial,cadre commercial,7,80,5,2,2,3,2,2,4,3,2,3,oui,0.19,non,1,2,1,23,3,marketing,y,occasionnel,0,0
73,33,f,13458,célibataire,consulting,directeur technique,1,80,15,15,14,1,3,3,4,3,3,3,oui,0.12,non,0,1,1,1,2,infra & cloud,y,frequent,8,12
74,35,m,9069,marié(e),commercial,cadre commercial,1,80,9,9,8,2,3,3,1,4,2,4,non,0.22,non,1,3,1,18,5,infra & cloud,y,frequent,1,8
75,35,f,4014,marié(e),consulting,consultant,3,80,4,2,2,3,3,1,1,3,3,3,oui,0.15,non,1,3,1,23,4,transformation digitale,y,occasionnel,2,2
76,31,m,5915,divorcé(e),consulting,consultant,3,80,10,7,7,4,3,2,4,4,2,4,non,0.22,non,1,3,1,7,4,infra & cloud,y,occasionnel,1,7
77,37,m,5993,divorcé(e),consulting,tech lead,1,80,7,7,5,1,2,2,3,3,4,3,non,0.18,non,1,2,1,1,4,infra & cloud,y,occasionnel,0,7
78,32,m,6162,marié(e),consulting,tech lead,1,80,9,9,8,1,3,2,4,2,3,4,oui,0.22,non,1,3,1,1,3,transformation digitale,y,occasionnel,7,8
79,38,f,2406,célibataire,consulting,consultant,1,80,10,10,3,4,3,2,4,4,3,3,non,0.11,non,0,2,1,29,5,infra & cloud,y,frequent,9,9
80,50,f,18740,divorcé(e),consulting,directeur technique,5,80,29,27,3,2,2,5,3,4,2,3,oui,0.12,non,1,2,1,7,2,transformation digitale,y,occasionnel,13,8
81,59,f,7637,célibataire,commercial,cadre commercial,7,80,28,21,16,1,3,3,1,4,2,3,non,0.11,non,0,3,1,25,3,infra & cloud,y,occasionnel,7,9
83,36,f,10096,divorcé(e),consulting,manager,1,80,17,17,14,3,3,3,3,2,3,3,non,0.13,non,3,2,1,8,3,entrepreunariat,y,occasionnel,12,8
84,55,f,14756,divorcé(e),consulting,senior manager,2,80,21,5,0,4,3,4,3,3,3,3,oui,0.14,non,3,2,1,8,3,transformation digitale,y,occasionnel,0,2
85,36,m,6499,célibataire,consulting,tech lead,1,80,6,6,5,2,2,2,2,3,3,3,non,0.13,non,0,3,1,11,3,infra & cloud,y,frequent,0,3
86,45,m,9724,divorcé(e),consulting,assistant de direction,2,80,25,1,0,2,3,3,1,3,3,3,non,0.17,non,1,2,1,7,3,infra & cloud,y,occasionnel,0,0
88,35,m,2194,marié(e),consulting,assistant de direction,4,80,5,3,2,2,3,1,1,4,2,3,non,0.13,non,1,2,1,1,3,transformation digitale,y,frequent,1,2
90,36,m,3388,marié(e),consulting,assistant de direction,0,80,2,1,0,4,2,1,3,1,2,3,oui,0.17,oui,1,0,1,9,3,transformation digitale,y,occasionnel,0,0
91,59,f,5473,célibataire,commercial,cadre commercial,7,80,20,4,3,1,2,2,3,4,2,3,non,0.11,non,0,2,1,1,1,infra & cloud,y,frequent,1,3
94,29,m,2703,marié(e),consulting,assistant de direction,0,80,6,5,4,3,3,1,2,4,3,4,non,0.23,non,1,3,1,2,3,infra & cloud,y,occasionnel,0,4
95,31,m,2501,célibataire,consulting,assistant de direction,1,80,1,1,1,3,3,1,2,2,3,3,non,0.17,non,0,4,1,1,4,transformation digitale,y,occasionnel,1,0
96,32,m,6220,marié(e),consulting,assistant de direction,1,80,10,10,4,2,3,2,2,2,3,3,non,0.17,non,2,3,1,1,3,infra & cloud,y,occasionnel,0,9
97,36,f,3038,marié(e),consulting,consultant,3,80,5,1,0,2,4,1,4,2,3,3,non,0.12,non,0,3,1,6,3,infra & cloud,y,occasionnel,0,0
98,31,f,4424,célibataire,consulting,tech lead,1,80,11,11,7,3,3,2,4,4,3,4,non,0.23,non,0,2,1,8,4,infra & cloud,y,occasionnel,1,8
100,35,m,4312,célibataire,commercial,cadre commercial,0,80,16,15,13,3,2,2,1,2,3,3,non,0.14,non,0,2,1,1,4,marketing,y,occasionnel,2,8
101,45,m,13245,marié(e),consulting,directeur technique,4,80,17,0,0,4,3,3,1,2,4,3,oui,0.14,non,0,3,1,6,4,autre,y,occasionnel,0,0
102,37,m,13664,célibataire,consulting,directeur technique,4,80,16,5,2,1,3,3,3,1,4,3,non,0.13,non,0,3,1,7,4,transformation digitale,y,occasionnel,0,2
103,46,m,5021,divorcé(e),ressources humaines,ressources humaines,8,80,16,4,2,2,3,2,2,4,3,4,oui,0.22,non,1,2,1,5,2,transformation digitale,y,occasionnel,0,2
104,30,m,5126,marié(e),consulting,consultant,1,80,10,10,8,4,2,2,4,3,2,3,oui,0.12,non,2,1,1,1,1,infra & cloud,y,occasionnel,3,0
105,35,m,2859,célibataire,consulting,assistant de direction,1,80,6,6,4,2,2,1,3,1,3,3,non,0.18,non,0,3,1,1,3,transformation digitale,y,occasionnel,0,4
106,55,m,10239,marié(e),commercial,cadre commercial,3,80,24,1,0,1,3,3,4,4,3,3,non,0.14,non,1,4,1,1,2,infra & cloud,y,occasionnel,1,0
107,38,f,5329,divorcé(e),consulting,assistant de direction,7,80,17,13,11,2,1,2,4,4,3,3,oui,0.12,non,3,3,1,6,3,transformation digitale,y,aucun,1,9
110,34,m,4325,marié(e),consulting,tech lead,1,80,5,5,2,1,3,2,2,3,3,3,non,0.15,non,0,2,1,1,2,transformation digitale,y,occasionnel,1,3
112,56,m,7260,célibataire,consulting,tech lead,4,80,37,6,4,4,1,3,4,1,2,3,non,0.11,non,0,3,1,7,3,infra & cloud,y,occasionnel,0,2
113,23,m,2322,divorcé(e),commercial,représentant commercial,3,80,3,0,0,3,3,1,1,3,3,3,non,0.13,non,1,3,1,2,1,entrepreunariat,y,occasionnel,0,0
116,51,m,2075,marié(e),consulting,consultant,3,80,10,4,2,4,3,1,4,2,3,4,non,0.23,non,2,4,1,9,4,infra & cloud,y,occasionnel,0,3
117,30,m,4152,marié(e),consulting,manager,1,80,11,11,10,3,2,2,4,1,3,3,non,0.19,non,3,3,1,2,3,infra & cloud,y,occasionnel,10,8
118,46,m,9619,célibataire,commercial,cadre commercial,1,80,9,9,8,3,2,3,4,4,3,3,non,0.16,oui,0,3,1,9,2,transformation digitale,y,occasionnel,4,7
119,40,m,13503,marié(e),consulting,manager,1,80,22,22,3,3,2,4,2,4,2,4,non,0.22,non,1,3,1,1,4,infra & cloud,y,frequent,11,11
120,51,m,5441,célibataire,commercial,cadre commercial,0,80,11,10,7,3,3,2,4,4,1,4,oui,0.22,non,0,2,1,21,4,marketing,y,occasionnel,1,0
121,30,f,5209,divorcé(e),commercial,cadre commercial,1,80,11,11,8,3,2,2,2,2,2,3,oui,0.12,non,3,4,1,4,2,transformation digitale,y,occasionnel,2,7
124,46,m,10673,marié(e),consulting,manager,2,80,21,10,9,3,2,3,1,3,2,3,oui,0.13,non,1,5,1,1,3,transformation digitale,y,frequent,9,5
125,32,m,5010,célibataire,commercial,cadre commercial,1,80,12,11,8,2,3,2,3,1,3,3,non,0.16,non,0,0,1,6,4,transformation digitale,y,occasionnel,5,7
126,54,f,13549,marié(e),consulting,directeur technique,9,80,16,4,3,1,3,3,3,1,1,3,non,0.12,non,1,5,1,2,4,entrepreunariat,y,occasionnel,0,3
128,24,f,4999,marié(e),commercial,cadre commercial,0,80,4,3,2,1,3,2,3,1,2,4,non,0.21,non,1,2,1,3,2,autre,y,occasionnel,0,2
129,28,m,4221,marié(e),commercial,cadre commercial,1,80,5,5,4,2,3,2,3,2,4,3,non,0.15,non,0,3,1,4,3,transformation digitale,y,aucun,0,4
131,58,m,13872,célibataire,commercial,cadre commercial,0,80,38,37,10,4,3,4,3,3,2,3,non,0.13,non,0,1,1,10,4,transformation digitale,y,occasionnel,1,8
132,44,m,2042,marié(e),consulting,consultant,4,80,17,3,2,2,3,2,2,3,4,3,non,0.12,non,1,3,1,23,3,transformation digitale,y,aucun,1,2
133,37,m,2073,divorcé(e),ressources humaines,ressources humaines,4,80,7,3,2,3,3,1,1,4,3,4,oui,0.22,oui,0,3,1,6,4,ressources humaines,y,occasionnel,0,2
134,32,m,2956,célibataire,consulting,assistant de direction,1,80,1,1,0,4,3,1,1,4,3,3,non,0.13,non,0,2,1,1,1,infra & cloud,y,occasionnel,0,0
137,20,f,2926,célibataire,consulting,consultant,1,80,1,1,0,4,2,1,4,2,3,3,oui,0.18,oui,0,5,1,6,3,infra & cloud,y,frequent,1,0
138,34,f,4809,célibataire,consulting,assistant de direction,1,80,16,16,13,1,3,2,3,3,3,3,non,0.14,non,0,3,1,6,4,autre,y,occasionnel,2,10
139,37,m,5163,divorcé(e),consulting,manager,5,80,17,1,0,3,2,2,4,4,4,3,non,0.14,non,1,2,1,2,2,infra & cloud,y,aucun,0,0
140,59,f,18844,marié(e),ressources humaines,senior manager,9,80,30,3,2,3,2,5,4,4,3,4,non,0.21,non,1,3,1,2,4,ressources humaines,y,aucun,2,2
141,50,f,18172,marié(e),consulting,directeur technique,3,80,28,8,3,1,3,5,2,1,2,3,oui,0.19,non,0,1,1,1,3,infra & cloud,y,frequent,0,7
142,25,m,5744,célibataire,commercial,cadre commercial,1,80,6,6,4,3,2,2,3,4,3,3,oui,0.11,oui,0,1,1,5,3,marketing,y,occasionnel,0,3
143,25,m,2889,marié(e),consulting,assistant de direction,1,80,2,2,2,4,2,1,4,3,3,3,non,0.11,non,2,2,1,7,1,transformation digitale,y,occasionnel,2,1
144,22,f,2871,célibataire,consulting,consultant,1,80,1,0,0,2,3,1,4,3,3,3,non,0.15,non,0,5,1,15,3,transformation digitale,y,occasionnel,0,0
145,51,f,7484,célibataire,consulting,manager,3,80,23,13,12,1,2,3,1,3,2,4,non,0.2,non,0,1,1,1,4,transformation digitale,y,frequent,12,8
147,34,m,6074,célibataire,consulting,consultant,1,80,9,9,7,1,1,2,3,4,3,4,oui,0.24,oui,0,3,1,7,3,infra & cloud,y,frequent,0,6
148,54,f,17328,célibataire,ressources humaines,senior manager,2,80,23,5,3,4,4,4,4,3,3,3,oui,0.12,non,0,3,1,26,3,ressources humaines,y,aucun,4,4
150,24,m,2774,marié(e),consulting,consultant,0,80,6,5,3,2,3,1,3,3,3,3,non,0.12,non,1,2,1,18,1,infra & cloud,y,occasionnel,1,2
151,34,f,4505,divorcé(e),consulting,assistant de direction,6,80,12,1,0,3,2,2,2,3,3,3,non,0.15,non,1,3,1,6,4,infra & cloud,y,occasionnel,0,0
152,37,m,7428,célibataire,commercial,cadre commercial,2,80,12,5,3,3,3,3,4,1,3,3,non,0.12,non,0,3,1,3,3,infra & cloud,y,occasionnel,1,3
153,34,f,11631,célibataire,consulting,senior manager,2,80,14,11,10,3,2,3,1,4,3,3,non,0.12,non,0,6,1,5,3,transformation digitale,y,occasionnel,5,8
154,36,f,9738,marié(e),commercial,cadre commercial,0,80,10,9,7,2,3,3,4,3,3,3,non,0.14,non,1,6,1,11,2,entrepreunariat,y,frequent,2,8
155,36,f,2835,divorcé(e),consulting,consultant,5,80,7,1,0,1,3,1,4,1,3,4,non,0.22,non,1,2,1,3,2,infra & cloud,y,occasionnel,0,0
158,43,m,16959,marié(e),commercial,senior manager,1,80,25,25,12,3,3,4,4,4,4,3,oui,0.12,non,2,3,1,26,2,infra & cloud,y,frequent,4,12
159,30,m,2613,divorcé(e),consulting,assistant de direction,1,80,10,10,7,1,1,1,3,3,2,4,non,0.25,non,3,2,1,23,3,infra & cloud,y,frequent,0,9
160,33,m,6146,marié(e),commercial,cadre commercial,0,80,8,7,7,3,3,2,2,1,4,3,non,0.13,non,1,2,1,22,2,marketing,y,aucun,0,7
161,56,f,4963,marié(e),consulting,assistant de direction,9,80,7,5,4,2,3,1,2,1,3,3,oui,0.18,oui,3,2,1,14,4,infra & cloud,y,occasionnel,4,3
162,51,m,19537,célibataire,consulting,directeur technique,7,80,23,20,18,1,3,5,3,3,3,3,non,0.13,non,0,5,1,6,3,infra & cloud,y,occasionnel,15,15
163,31,m,6172,marié(e),commercial,cadre commercial,4,80,12,7,7,2,1,2,3,2,2,3,oui,0.18,oui,0,3,1,6,4,infra & cloud,y,occasionnel,7,7
164,26,f,2368,marié(e),consulting,assistant de direction,1,80,5,5,4,3,2,1,2,3,2,3,non,0.19,non,0,3,1,6,3,autre,y,occasionnel,4,3
165,58,f,10312,marié(e),consulting,manager,1,80,40,40,10,4,3,3,4,4,2,3,non,0.12,oui,1,3,1,23,4,transformation digitale,y,occasionnel,15,6
167,19,m,1675,célibataire,commercial,représentant commercial,1,80,0,0,0,4,3,1,3,4,2,3,oui,0.19,oui,0,2,1,22,1,marketing,y,occasionnel,0,0
169,22,m,2523,marié(e),consulting,consultant,0,80,3,2,1,3,3,1,4,3,3,3,non,0.14,non,1,2,1,2,1,entrepreunariat,y,occasionnel,2,1
170,49,f,6567,marié(e),consulting,tech lead,1,80,16,15,11,3,3,2,1,3,2,3,non,0.14,non,0,2,1,20,4,transformation digitale,y,occasionnel,5,11
171,43,f,4739,célibataire,consulting,assistant de direction,4,80,18,3,2,2,4,1,3,4,3,3,non,0.12,non,0,2,1,28,3,transformation digitale,y,frequent,1,2
174,50,f,9208,célibataire,commercial,cadre commercial,4,80,16,2,2,3,3,3,4,4,3,3,non,0.11,non,0,3,1,12,3,marketing,y,frequent,2,1
175,31,f,4559,marié(e),commercial,cadre commercial,3,80,4,2,2,2,1,2,3,3,3,3,oui,0.11,oui,1,2,1,20,3,infra & cloud,y,occasionnel,2,2
176,41,m,8189,divorcé(e),commercial,cadre commercial,3,80,12,9,7,3,3,3,3,3,3,3,oui,0.13,non,1,2,1,9,1,infra & cloud,y,occasionnel,0,7
177,26,f,2942,marié(e),ressources humaines,ressources humaines,1,80,8,8,7,3,3,1,3,4,3,4,non,0.23,non,1,3,1,25,1,infra & cloud,y,occasionnel,5,7
178,36,m,4941,divorcé(e),consulting,tech lead,6,80,7,3,2,2,3,2,2,4,3,4,non,0.2,non,2,0,1,6,2,transformation digitale,y,occasionnel,0,1
179,51,m,10650,célibataire,consulting,tech lead,2,80,18,4,2,1,1,3,4,4,3,3,non,0.15,oui,0,2,1,8,4,infra & cloud,y,frequent,0,3
182,39,f,5902,marié(e),commercial,cadre commercial,4,80,17,15,11,4,2,2,3,3,4,3,non,0.14,non,1,1,1,4,4,infra & cloud,y,occasionnel,5,9
183,25,m,8639,marié(e),commercial,cadre commercial,2,80,6,2,2,1,2,2,3,4,3,3,non,0.18,non,0,3,1,28,3,infra & cloud,y,occasionnel,2,2
184,30,m,6347,marié(e),ressources humaines,ressources humaines,0,80,12,11,9,3,3,2,4,4,1,3,oui,0.19,non,0,2,1,9,3,ressources humaines,y,occasionnel,4,7
190,32,f,4200,célibataire,consulting,consultant,7,80,10,5,4,1,3,1,1,1,4,4,non,0.22,oui,0,2,1,9,3,transformation digitale,y,occasionnel,0,4
192,45,m,3452,célibataire,consulting,assistant de direction,5,80,9,6,5,3,3,1,4,2,2,3,non,0.13,non,0,2,1,29,3,transformation digitale,y,occasionnel,0,3
193,38,f,4317,célibataire,consulting,assistant de direction,3,80,19,3,2,4,3,2,3,2,3,4,oui,0.2,non,0,2,1,3,5,entrepreunariat,y,occasionnel,2,2
194,30,f,2632,célibataire,consulting,assistant de direction,1,80,5,5,4,1,3,1,3,3,2,3,non,0.14,non,0,4,1,18,3,infra & cloud,y,occasionnel,0,4
195,32,m,4668,divorcé(e),commercial,cadre commercial,0,80,9,8,7,4,1,2,4,4,4,3,non,0.17,non,3,2,1,9,2,transformation digitale,y,frequent,0,7
197,30,f,3204,divorcé(e),consulting,assistant de direction,5,80,8,3,2,4,3,1,1,4,3,3,non,0.14,non,1,3,1,5,3,entrepreunariat,y,occasionnel,2,2
198,30,m,2720,célibataire,consulting,consultant,0,80,6,5,3,2,2,1,4,4,3,3,non,0.13,non,0,3,1,2,1,transformation digitale,y,occasionnel,1,2
199,41,m,17181,divorcé(e),consulting,senior manager,4,80,21,7,6,4,2,4,1,2,2,3,non,0.13,non,1,2,1,10,3,infra & cloud,y,frequent,7,7
200,41,m,2238,marié(e),consulting,consultant,2,80,7,5,0,3,3,1,1,4,3,4,non,0.21,non,1,2,1,9,4,infra & cloud,y,occasionnel,1,4
201,19,f,1483,célibataire,consulting,consultant,1,80,1,1,0,2,3,1,2,4,3,3,non,0.14,non,0,3,1,3,1,transformation digitale,y,occasionnel,0,0
202,40,f,5605,divorcé(e),consulting,assistant de direction,1,80,20,20,7,2,3,2,2,1,3,3,non,0.11,non,1,2,1,26,3,transformation digitale,y,frequent,2,13
204,35,m,7295,marié(e),commercial,cadre commercial,1,80,10,10,8,3,3,3,2,1,3,3,non,0.13,non,2,3,1,1,5,marketing,y,occasionnel,0,6
205,53,m,2306,marié(e),commercial,représentant commercial,2,80,13,7,7,2,3,2,3,4,1,4,oui,0.2,non,1,3,1,6,2,marketing,y,occasionnel,4,5
206,45,m,2348,divorcé(e),consulting,consultant,8,80,20,17,9,2,3,2,2,3,1,3,non,0.18,non,1,2,1,9,3,infra & cloud,y,occasionnel,0,15
207,32,f,8998,célibataire,commercial,cadre commercial,1,80,9,9,8,2,3,3,4,4,3,3,non,0.14,non,0,2,1,8,3,marketing,y,frequent,3,7
208,29,m,4319,marié(e),consulting,tech lead,1,80,10,10,7,4,3,2,3,1,3,3,non,0.13,non,1,1,1,1,1,entrepreunariat,y,aucun,0,9
211,51,m,6132,marié(e),consulting,tech lead,2,80,10,1,0,2,2,2,3,3,3,3,non,0.17,non,0,2,1,7,4,transformation digitale,y,occasionnel,0,0
